77
color colour
fries chips 
cottoncandy candyfloss 
apartment flat 
garbage rubbish 
cookie biscuit
pants trousers
windshield windscreen
booger bogey 
dude bloke
awesome ace 
shootthebreeze chinwag 
grunt squaddie 
john loo 
John Doe John Smith 
lollygag faff_about 
flavor flavour
idolise idolize
water bo'ole-o'-wa'er
apartment flat
bangs fringe
barrette hairslide
broil grill
broiler grill
candy sweet
phone mobile-phone
chips crisps
closet wardrobe
counter-clockwise anticlockwise
crib cot
diaper nappy
drugstore chemist
eggplant aubergine
elementary primary
elevator lift
highway motorway
garbage-can bin
gas petrol
hood bonnet
jump skipping
license-number
liquor-store off-licence
mailbox postbox
oven_mitt oven_glove
pacifier dummy
pants trousers
pantyhose tights
parking-lot car-park
part parting
period full stop
private_school public_school
public school state school
bathrobe dressing gown
shopping-cart shopping-trolley
pavement sidewalk
sled sledge
sneakers trainers
soccer football
sprinkles hundreds-and-thousands
stroller pushchair
subway underground
suspenders braces
sweater jumper
takeout takeaway
thumbtack drawing pin
tic-tac-toe noughts-and-crosses
trunk boot
turn_signal indicator
undershirt vest
vacation holiday
vest waistcoat
washcloth flannel
zip_code postcode
stabbed shanked
mom mum
my me
my mom stabbed the queen
